作品,作品积分,年,月
秋风缠,83943912,2008,6
随易而安,102734544,2008,4
羿~~宝贝,205011056,2008,6
我是大叔不是受,81172792,2008,7
[ＨＰ]黑暗的Love,47328452,2008,3
走过地狱之重生,96093480,2008,7
重生之南宋射雕,128572904,2008,6
穿越蛮荒,65792456,2008,8
龙魂(网游),77970648,2008,7
你们！都给我从猎人世界滚出去！,51917356,2008,4
重生,102578144,2008,5
为了更伟大的利益（HP同人）,23102718,2008,7
（射雕同人）风入松,48854032,2008,5
非礼勿攻,53817724,2008,7
狼爱上羊,46178664,2008,7
天界长歌I,38929028,2008,10
大冒险之十二金锣,223497152,2008,9
过激,7927619,2008,3
（笑傲同人）风清扬,43693136,2008,10
舞将攻略,63925732,2008,2
沧海Online,31074550,2008,6
来啊,14577511,2008,12
[猎人同人]韶华流光(CP:西索X赤尸),21508246,2008,5
夭-竹马成行妖孽成双,60454400,2008,11
无限恐怖同人-恶狼传说,26378086,2008,7
夜术,44713984,2008,7
百变小樱之桃矢&雪兔,17432668,2008,6
血莲青涩,40089316,2008,3
王者,10385631,2008,7
南纳骑士,108903640,2008,7
颤栗之花,32962192,2008,1
郝小鸡日记,73466768,2008,7
白玉昭然（猫鼠）,15833936,2008,1
高雅艺术,3885359,2008,11
冰潮零点,61427308,2008,8
无限恐怖——MYLLKI．ZAOLDYECK,5659450,2008,5
异间,23609060,2008,6
死神之子夜歌,20679008,2008,7
吸血天子,26851648,2008,11
[网王]冰山上的水仙花,26599964,2008,7
乱步狼烟道,50408584,2008,6
Slayer of The silks tow（柯南同人 快斗X新一）,13874526,2008,11
绚烂英豪V,77708904,2008,7
子焉（网游）,9321374,2008,4
萧洒走一回(强强),31855122,2008,7
封喉诀,82960648,2008,4
当魔头是很辛苦的,13597357,2008,1
琢玉成华,62979824,2008,12
雨过天晴,54467628,2008,9
冲霄一夜(猫鼠),6783457,2008,7
医者之记(无限恐怖同人),5955486,2008,7
重生,25621698,2008,1
谨言,2375469,2008,9
世界传说ONLINE之星空预言,17618696,2008,10
[吸血鬼骑士伪同人]Sleepless Beauty,16574856,2008,5
雪落无痕,77387872,2008,11
（风云）梦云花开风自落,16913192,2008,12
商汉天下,19000828,2008,2
慢慢相守,12373455,2008,11
家教同人 祈祷者,7172093,2008,11
攻不可默,30826806,2008,8
赞美神（无限恐怖同人）,4915086,2008,5
青翼之歌,30111036,2008,12
异世重生之归去来兮,7400733,2008,8
Bleach-神之无极,41261388,2008,12
无双,34258408,2008,11
如何在耽美中挣扎着杀出一条血路,11356082,2008,6
大皇子〖原名◇帝落轻尘〗,7777385,2008,6
乱世劫（上部）,15634657,2008,7
妖奇传(续),26887954,2008,9
[吸血鬼骑士/枢零]尊与傲,2415547,2008,6
金庸小说同人集,7425748,2008,4
穿肠毒药（禁渊）,8215656,2008,12
六丑(强强帝受),4091599,2008,7
殿前欢,3226071,2008,7
日出,7117360,2008,8
当他变成了她,14610237,2008,1
贵族血刃,15380877,2008,4
奈何桥　之　临水皇子,18869484,2008,2
驯服游戏,5337602,2008,9
Tame Game,6382036,2008,10
（HP）「炼」上蛇王（原名械之炼金术师）,1859032,2008,8
网游之伤痕,3847321,2008,8
帝国迷情,7456311,2008,8
纵夏焚秋,6233993,2008,9
我是孙悟空,3738770,2008,7
虞美人（gl，女尊）,3869737,2008,10
在劫难逃（强强）,12268301,2008,11
罗密欧与罗密欧,9964678,2008,7
猎人——来，坦子笑一个,1607610,2008,4
[鼠猫] 《报仇》 系列 短篇,2837702,2008,3
追 “妻”,6562178,2008,9
周郎顾,1739709,2008,2
th依旧笑春风,6352336,2008,4
[鼠猫]胭色初晴 冲霄,3791118,2008,11
今生只为你（杨戬、鼠猫同人）,919951,2008,9
[HP] 至黑（Prehistory）,3966024,2008,7
莲花烙,8348573,2008,6
爱到疯了,7294434,2008,6
[仙4霄青霄]莫言离殇,2810482,2008,7
我只是个经纪人,3675397,2008,8
子虚何冥冥,2713065,2008,7
冷医虐,2293868,2008,8
怎样掰弯一,5469239,2008,5
你好！我叫大白（河蟹状态）,8473814,2008,9
霍卫同人--我为你而来,7099447,2008,4
无情有心,11110641,2008,11
梦里江湖,4439277,2008,7
世界管理之境,2677784,2008,7
耀司问情,984719,2008,5
唐·世民,10444545,2008,3
血之桦焰,771601,2008,7
罪无可赦,3344333,2008,10
sa,2881121,2008,7
当咖啡遇上巧克力（出书，部分锁）,3927595,2008,7
罪与罚的爱情,9540254,2008,10
涸泽之鱼,5718793,2008,6
压你一辈子,5245415,2008,10
梅花香至,2666013,2008,3
红颜祸水（冲霄一夜番外）,858635,2008,12
重新长大,838819,2008,6
(逍欢) 醉卧红尘,854851,2008,6
碎风天(穿越+强强+王朝),3618515,2008,5
天下第一受,1950749,2008,5
Telianthus-雌雄同体,1896832,2008,4
第二转弯处,419167,2008,7
帝业无殇,1002795,2008,7
大唐同人之李建成,539694,2008,8
