作品,作品积分,年,月
火影之秋山云锦,177596,2012,3
网游之逐鹿天下,46822,2012,3
原路返回,30115,2012,3
猎鹰号,158399,2012,3
向阳早逢春,80175,2012,3
网,54246,2012,3
白豆腐臭豆腐,26030,2012,4
[东邦/扬瑞]近与远,33439,2012,4
[东邦/扬瑞]二十字微小说,23212,2012,4
Deep Blue,136824,2012,4
坠入地狱的神话,293677,2012,4
繁华落尽，一世空城。,230647,2012,4
残天倾痕,78548,2012,4
君臣,48016,2012,4
我们结婚了Ⅱ,95395,2012,4
狂嚣之爱,144380,2012,4
万里晴空,94872,2012,4
灵魂之城,29776,2012,4
异能,29156,2012,4
琉璃仙短篇   醉-欲（飞锥×琉璃仙）,22678,2012,4
莫染尘埃,148861,2012,4
千手满楼,41270,2012,4
三秋醉,25356,2012,4
一方清海鉴月明,736242,2012,4
枫染琉璃（暂名）,1062660,2012,5
伤凉,131649,2012,5
类似爱情,229572,2012,5
天下贰耽美同人,22863,2012,5
醉倾东篱,27414,2012,5
狂野式、扑倒,41449,2012,5
[全职同人]Good Boy(好狗狗),41842,2012,5
打着酱油逛江湖,62990,2012,5
前进至2012（Hp同人）,21648,2012,5
校服,62549,2012,5
走一步算一步,148784,2012,5
浮世情殇,241394,2012,5
戏皇,88954,2012,5
郁郁青清,28990,2012,5
"嘿渣渣,你们好",60281,2012,5
银冲起名无能II,133424,2012,5
花满清秋,41900,2012,5
小乱小乱，我是良牙,26157,2012,5
张天师,70891,2012,5
律业先宗,130101,2012,6
罗黄 夜,53117,2012,6
十年伤,63389,2012,6
绝迹江湖之花开花落,38196,2012,6
宵白的网游,44599,2012,6
相思垢,70034,2012,6
滴水穿石,38282,2012,6
在异想空间中呐喊,29340,2012,6
我的妖孽人生,720925,2012,6
放飞,184574,2012,6
青帝,34651,2012,6
重生之信以为真,36717,2012,6
谁言凤歌清,31509,2012,6
《血之羁绊》,872419,2012,6
行骗娱乐圈,40453,2012,6
苍穹剑,64288,2012,6
拼图记,382603,2012,6
仙四/青霄《无期录》,25203,2012,6
眼镜店,183688,2012,6
在塞巴斯酱不在的日子里_千泷出品,24179,2012,6
只为闪闪的你,55775,2012,6
救赎,44416,2012,6
此案不予受理,60158,2012,6
如步蟾宫,145802,2012,6
生活,303228,2012,6
综漫之堕天使之翼,23362,2012,6
空无一人,1009205,2012,7
穿越之伊人憔悴,23415,2012,7
痴湖边上有傻鸟,262197,2012,8
执子天下,63477,2012,7
你的习惯我的改变,110639,2012,7
妖司,146822,2012,7
死神来了,519074,2012,7
军衔,37759,2012,7
漂泊至今,182167,2012,7
（猎同）只是想要而已,27591,2012,7
若，卿天下,43391,2012,7
无泪城,120461,2012,7
好的结局,78270,2012,7
[瓶邪]高考后的那些事儿,43292,2012,7
白******,112509,2012,7
戏如人生,53194,2012,7
吾爱清雅,23450,2012,7
倾月离歌,32517,2012,7
竹马计划,596396,2012,7
深蓝丽影,242131,2012,7
天族,37203,2012,7
魔魂,149705,2012,7
[骸云]相得并非益彰,65780,2012,7
十大神器,52890,2012,7
猎人之落地生根,147705,2012,7
恶龙与骑士,48913,2012,7
宠物替身,26809,2012,7
翻墙,29991,2012,7
天宫·五月七夜雪,199309,2012,7
飘,60978,2012,7
异世之机甲青魂,60197,2012,7
一只淡漠受,69618,2012,8
西米露神马的有爱啊,24346,2012,8
重生之留意不留名,24584,2012,8
难上加难,33763,2012,8
巅峰对决,33773,2012,8
xy,55536,2012,8
青丝缠身,93427,2012,8
喂！我才不是小鬼,40556,2012,8
萧飒,115286,2012,8
末日歌,121579,2012,8
收集的好看的JJ耽美文,23933,2012,8
青黑羽毛,131560,2012,8
黑阁,106094,2012,8
魔王未成年,53554,2012,8
瓶邪·人鬼殊途,28230,2012,8
重生之依然爱你,35461,2012,8
—，—,21648,2012,8
雷雨,59034,2012,8
一生三世,36664,2012,8
神兵谱·雁鸣刀,1049785,2012,8
缘来是你,155692,2012,9
When I look into your eyes（贝弗）,25547,2012,9
双世,161140,2012,9
青梅煮酒,40249,2012,9
绘他半生芳泽,97840,2012,9
[SH翻译][双莫]Watch the World Burn,99406,2012,9
大明星，小警察,105974,2012,9
爱无痕，情无际,195544,2012,9
我们,137583,2012,9
[家教/6918骸云]未知,78695,2012,9
综漫  崩坏的人生,24272,2012,9
[无限同人/楚郑]意外风景,73192,2012,9
铁血十三鹰,53167,2012,9
遇鬼,46320,2012,10
四月一日回天录,23399,2012,10
玉石难焚,320612,2012,10
Steal a glance,58681,2012,10
交易,119072,2012,10
[网游]卧槽，这坑爹的游戏,82054,2012,10
重生之与子执手,40349,2012,11
[唐敏]《未曾相遇，已经错过》,152436,2012,10
你只能是我的,47341,2012,10
何以相惜,323351,2012,10
南湖中学零九一二,78249,2012,10
七国纪之赤陵·茕茕白兔,420855,2012,10
数见红尘应识我,21649,2012,10
重生之食物至上,23781,2012,10
星河穿梭者,250296,2012,10
祭恋,846507,2012,11
潇潇聿书,53264,2012,11
血色彼岸,24348,2012,11
思凡,208581,2012,11
浮一当铺,189359,2012,11
连星星都看不到,122025,2012,11
我是美男啊！,41409,2012,11
基佬在末世,106028,2012,11
"[红开]Not death,but love（赠夏炎之心）",33770,2012,11
HP扛起狗血的枷锁向节操下跪,29508,2012,11
狐蝶,34056,2012,11
图书馆的储藏柜为什么要申请？,294027,2012,11
国王坛风云录同人,40958,2012,11
重回,83834,2012,11
这个男后很情兽,36584,2012,12
沉溺,212674,2012,12
兰幽界,197906,2012,12
残翼天使的破晓之泪,186030,2012,12
桃花醉,73781,2012,12
逐年逝水,92002,2012,12
[妇联]Shield Tales,23123,2012,12
古代是非录之家有侠客,69473,2012,12
贱受录,38926,2012,12
4,192587,2012,12
伯纳乌没有心,33054,2012,6
强强对决,21249,2012,6
深情诱爱,87895,2012,7
天河之外,297944,2012,7
地下银河,32063,2012,9
樱花雾,21203,2012,10
弄年,67109,2012,12
我与凤皇有个约会,55387,2012,1
花与剑不寐,74184,2012,1
判官无回,257669,2012,1
花在江湖鬼混,76876,2012,1
极致人生,19024,2012,1
亲没？猪吗！,33058,2012,1
狐情,52555,2012,2
青陵蝶梦,35507,2012,2
这不是喜欢你吗,62033,2012,2
时光拿起刻刀,110260,2012,2
安诺,28360,2012,2
〖现代〗因果关系,201843,2012,2
穿越之愿为废柴,25574,2012,3
良宵美人,21160,2012,3
文武双全,101644,2012,3
天外之界,149378,2012,3
手不放,151457,2012,4
午后丁子茶色,141824,2012,4
危险诱惑,139333,2012,4
艾里莫顿魔法学院,34840,2012,4
小白的诱惑,69273,2012,5
锲之歌,57303,2012,5
蔷薇骑士之情倾千年,84983,2012,6
异世之温茶,61969,2012,6
男人太倔不好,31574,2012,6
乱世妖弄天下,70075,2012,6
我只愿意·为你,39523,2012,7
啥？！一个闷骚的寻攻路程,52035,2012,7
桃花赋风璃曲,88130,2012,7
穿越之入戏江湖,27692,2012,7
零殊,424802,2012,7
两个疯子到天涯,30457,2012,7
时间的颜色之云祭,87006,2012,7
谈谈情，捉捉鬼,70129,2012,7
情迷意乱,28625,2012,7
琴箫犹醉碎银铃,23977,2012,7
再世为妖,33879,2012,8
穷鸟入怀,104655,2012,8
无期无心,59598,2012,8
半城啸烟，满城雪,32933,2012,8
来一杯芒果沙冰,107917,2012,8
繁花落尽,23774,2012,9
一步之遥,27134,2012,9
魔王天下,19024,2012,9
兵器,58386,2012,9
再爱我一次,132869,2012,10
三无小受啃冰山,25732,2012,10
沉寂之岛,32979,2012,10
世界进行时,100247,2012,10
年下也疯狂,50002,2012,10
不死不休,19724,2012,10
只要幸福就好了,59333,2012,11
风叶浅笑（原《风》）,34322,2012,11
总角之交,135956,2012,11
落落红衣,43721,2012,11
[BL]兔子不吃窝边狼,43542,2012,12
谋士,162452,2012,12
亲爱的，请相信幸福,24882,2012,12
Black moments 黑暗时代,33849,2012,12
年少不知时,120835,2012,5
笑掌风云,21702,2012,1
韶华物语,32954,2012,1
老人家說......,166047,2012,1
湮世惑半尘,31862,2012,1
妖契,24129,2012,1
劳资是卧底,22676,2012,1
网游之狐媚人生,21022,2012,1
满地遍是菊花开,46511,2012,1
潇潇烟雨,242312,2012,1
将死,28532,2012,1
[火影同人]云遥坛,20480,2012,1
试剑天下,342031,2012,1
重食,22714,2012,1
未见沧海,37694,2012,1
龙阳怎么斗？,44328,2012,1
唐代百鬼录之翠竹依旧,29489,2012,1
少年不轻狂,44739,2012,1
驱魔同人·荒凉,24723,2012,1
踮起脚尖幸福,137522,2012,1
若不生在帝王家 定于君共赏繁花,135461,2012,1
黑暗玛丽苏和中二病,29712,2012,1
（龙门）只想注视你,25981,2012,1
相随一世,47429,2012,1
洛子彻,71424,2012,1
时至今日,70731,2012,1
十六乐章之永恒记忆,44138,2012,1
湮灭的夙诺,65461,2012,1
全城皆斗鱼,25738,2012,1
潇然梦同人衣不如新,41954,2012,1
哎呦，我的小祖宗！,75274,2012,1
浅觞独饮,91689,2012,1
他们不信爱,57619,2012,1
早婚的孩子,54848,2012,1
星夜纸蝶,33278,2012,1
唯我独尊俩白痴,65085,2012,1
吸血鬼的恋爱生活,34549,2012,1
冥夜魅宠,36718,2012,1
超级废材的武侠人生,77690,2012,1
南北,23861,2012,1
帝道之皇家私生子,45930,2012,1
奶牛,25058,2012,1
强大,39574,2012,1
时间沙漏,31129,2012,1
警察,23345,2012,1
血戮纱华,48925,2012,1
木落沉焰,250220,2012,1
很爱很爱,24630,2012,1
一日一叙,51421,2012,1
刺客遗篇,20533,2012,1
网游之绯色日记,65958,2012,1
被空少爱上的日子,29343,2012,1
楼外花枝笑独眠,722104,2012,1
炎炎晴天,65253,2012,2
无法逃离你的爱,50214,2012,2
微云淡云谁与共,101452,2012,2
千盅酒，难醉我,29394,2012,2
你依我然,35605,2012,2
谦岁,21867,2012,2
下攻上受,21589,2012,2
一路随行,64789,2012,2
倒计时,115137,2012,2
此世不换,23349,2012,2
（骸云）云里雾里,30301,2012,2
[士兵突击/袁高]江河山川,40169,2012,2
牙疼不是病,74008,2012,2
网游之天瑟,20407,2012,2
夜思念,53669,2012,3
神泣,41316,2012,2
（猎人）苏的幻象,32691,2012,2
侠“妃”,27007,2012,2
斯人在远,149266,2012,2
残酒空对月,219667,2012,2
爱是一种本能,176110,2012,2
[戚顾]星火,132779,2012,2
牢,22979,2012,2
灭世倒计时,62487,2012,2
万花可撷,29869,2012,2
老子才是攻,49738,2012,2
逆风向,84053,2012,2
奸行之无道,68808,2012,2
寒夜星辰,21791,2012,2
十里桃花,47762,2012,2
（仙侠）大道,42035,2012,2
似是故人来,66110,2012,2
再见、安可,118082,2012,2
小和尚,76485,2012,2
"那么,游戏开始吧 .",19255,2012,2
若有一天我也遗忘,76684,2012,2
北河默示录,159920,2012,2
帝宴,77001,2012,2
G影帝,21067,2012,2
网游之人妖法杖,186156,2012,2
乱舞流光,53110,2012,2
《颜千岸Ⅰ》,56328,2012,2
只爱陌生人（苏白）,126419,2012,2
天元纪事之痞帝传奇,43031,2012,2
赤焰清华,99224,2012,2
网游之龙神之子,31349,2012,2
陌路,214403,2012,3
活祭,23364,2012,3
人生赢家,19024,2012,3
Squalo同人岁月静好,19964,2012,3
综漫 时空之乱,19024,2012,3
网游之龙啸,41801,2012,3
云光,193499,2012,3
草木无情——儿童读物版,28568,2012,3
娘子匆匆,21485,2012,3
这个故事发生在事故之后,27192,2012,3
薄情，薄幸无情,211246,2012,3
伪君子,233479,2012,3
挑战者320,348504,2012,3
全息网游之玩家？NPC？你究竟是谁？,126387,2012,3
朝渊似锦,20090,2012,3
墨羽,36506,2012,3
〖武侠〗曾相识,71995,2012,3
心系天下,159945,2012,3
异世之非一般的人生,102899,2012,3
我心悠然,275614,2012,3
魔道中人,63286,2012,3
江湖太坑爹,34811,2012,3
如烟似梦,26508,2012,3
孤独以及分裂,21909,2012,3
伏澜,139180,2012,3
家教之三世轮回,19519,2012,3
但愿君心似我心,20090,2012,3
逆水寒 蓦然回首之沧海月明,75812,2012,3
轻尘 陌上离,53076,2012,3
[龙之谷-十雷十]囚,305204,2012,3
十七年,294825,2012,3
突然想起你,53915,2012,3
逃婚篇,71100,2012,3
我有一个哥们儿,23952,2012,3
相望相思不相亲，天为谁春,21690,2012,3
背后的信仰,91188,2012,3
帝座,271298,2012,3
樱之风声,88117,2012,3
废弃花开,19038,2012,3
末路君何归,139089,2012,3
墨上花开,50560,2012,3
故月锦华年,19534,2012,3
灰色地帶,695243,2012,3
吾本无辜,30349,2012,3
一渊有小澜,91160,2012,3
别扭的西装裤,28978,2012,3
爱你无悔,37626,2012,3
1-Mar,29684,2012,3
遗留残骸,24354,2012,3
死局,26658,2012,4
落花,33406,2012,4
游龙戏龙,57306,2012,4
无花不解语,31614,2012,4
咔嚓咔嚓（摄影师攻X汽车销售受）,31762,2012,4
Only money,98070,2012,4
画鬓成霜,54898,2012,4
[仙剑同人]残阳血,171056,2012,4
爱咬脖子的嗜血情人,22034,2012,4
未来之未来,19024,2012,4
君子与伪君子,22860,2012,4
宫末,24041,2012,4
洛白,86494,2012,4
无罪之森,26416,2012,4
秘药铺,117054,2012,4
人族,24492,2012,4
透骨香,85039,2012,4
吞噬,36922,2012,4
城区拟人·爱了才有恨,38917,2012,4
诡异学校,23889,2012,4
赤云,175322,2012,4
戚顾百鬼夜行系列,75209,2012,4
我们结婚了,115982,2012,4
天才漫漫网球路,29605,2012,4
医者,100592,2012,4
白昼之月,53812,2012,4
君，臣,85433,2012,4
重生之斯文疯子,29425,2012,4
非黑即白,33545,2012,4
枷锁,62155,2012,4
碧雨倾魂,49434,2012,4
氓,27243,2012,4
暖玉沐海录,30679,2012,4
说英雄段子集,25108,2012,4
玩家,335808,2012,8
瓶邪怀念∕熟识[微短篇完结],24485,2012,5
末世之回归,47455,2012,5
璟轩天下,126911,2012,6
夕落蔚紫,48656,2012,5
历史那些搅基事,20690,2012,5
耽美庭,25770,2012,5
墨兰沉,239549,2012,5
岁岁沉年,31654,2012,5
周小史秘史,82240,2012,5
九天一世,80985,2012,5
违爱万年,85633,2012,5
浸生凉,38515,2012,5
咎之茧,113280,2012,5
[宋屿寒x陆南亭]化狐,20101,2012,5
当冬夜渐暖,111228,2012,5
向往,325310,2012,5
夏岚,72605,2012,5
浮伤年华,37135,2012,5
骸云 轮,32781,2012,5
诱拐龙的手册,51285,2012,5
浅情人,19513,2012,5
Crush,61702,2012,5
[推荐]我爱的文,286177,2012,5
逆光之后,280026,2012,5
枭鹰,55379,2012,5
V传说,111965,2012,5
晨光之曦,86080,2012,5
重生之超越,21841,2012,5
爱情不遥远,71302,2012,5
快穿 浮光掠影,67541,2012,6
无憾的子弹,78309,2012,6
乱世倾心录,49744,2012,6
失乐园,105309,2012,6
心跳吾皇,37983,2012,6
九重华莲祭,24906,2012,6
Moon Child 同人,36121,2012,6
可以触碰的未来,327671,2012,6
顾有所得，众有所失,152071,2012,6
暮雪山色之惊天医术,106175,2012,6
恋蝶,24102,2012,6
刹那飞雪,633196,2012,6
钟山风云录,122742,2012,6
『末日笔记』,29084,2012,6
神经,316797,2012,6
瞬息之间,317830,2012,6
半面妆,97198,2012,6
妖狐在世之澜夜,95916,2012,6
岁月如歌,350406,2012,6
海贼很忙！,46871,2012,6
飘渺之蓝,145233,2012,6
环三和二三的小段子,27901,2012,6
痞子艺人,58440,2012,6
君泠天下,68766,2012,6
沧海月明,160398,2012,6
与君共舞,148272,2012,6
追逐你无痕,262176,2012,6
若爱成殇,99642,2012,6
缄,35440,2012,6
青言,32787,2012,6
拾年,23663,2012,6
濯尘,35013,2012,6
樱花纷飞时,19571,2012,6
真爱,170998,2012,6
半轮赤月,19065,2012,6
失乐园,62604,2012,6
灵魂游戏,116338,2012,6
半树桃花照风灯,104191,2012,6
嫁给皇上小受,38272,2012,6
测试存稿。,62584,2012,6
无痕左黯,50854,2012,6
回环,31459,2012,6
四人组,244330,2012,7
小楼昨夜又春风,32549,2012,6
瓶中鱼,29210,2012,6
蓬莱山阁楚城孤,25652,2012,6
那年盛夏，花开花落,22467,2012,6
兄长,19942,2012,6
浪漫派与癫狂症,26064,2012,6
灼伤（原名：《sunburn》，欧美风）,92027,2012,6
烈焰情缘,32756,2012,6
乱世帝颜,214836,2012,6
深水BAR,19405,2012,6
爱の小段子,113281,2012,6
[仙五幽凡]折戟,110977,2012,6
HP之人生百年,19967,2012,6
眉来眼去的游戏,239897,2012,6
暗把流年成错对,39469,2012,6
半树桃花,72282,2012,6
重生之荒野夫夫,26881,2012,6
迷局,21466,2012,6
镜系列之光影交错,35053,2012,6
迷雾氤氲,55587,2012,6
偶像分手的方法,19024,2012,6
谁人听鲸说,51366,2012,6
流仙,25450,2012,7
那些日子,45834,2012,6
你只能是我的,48289,2012,6
酒醒在何处,42819,2012,7
跟我走吧,21465,2012,7
如果这是一场梦,74777,2012,7
校园玩笑,31424,2012,7
不悔,34366,2012,7
末世之全反射,19108,2012,7
东邦 危楼,43375,2012,7
唯我独尊：女王未及笈,23653,2012,7
夏启无尘,56850,2012,7
总裁清温柔：小受17岁,19166,2012,7
屌丝异闻录,57992,2012,7
铃声响了请起床,50549,2012,7
合荒志·鲛人,28908,2012,7
麦子,20400,2012,7
浊世,87949,2012,7
立海大深宫物语,51756,2012,7
怎么着我就弯了？！,34194,2012,7
何处惹尘埃,118847,2012,7
月华照流云,67281,2012,7
渡西津,229564,2012,7
维度,101555,2012,7
重生之极品顾风间,21573,2012,7
拉裴尔,71246,2012,7
爱一点,153763,2012,7
蓝雅之谜,86267,2012,7
爱凉②：网游之千年纠缠,48542,2012,7
断罪之逆时者,79661,2012,7
春申恨,593699,2012,7
谁知已是盘中餐,38720,2012,7
?交换人生,420893,2012,7
讨厌，我不想看,60358,2012,7
墨色天涯,57497,2012,7
（异世）披着豹皮的人,55971,2012,7
他乡,253502,2012,7
侧耳听君音不止,33876,2012,7
水晶商人,68224,2012,7
情殇,19137,2012,7
时空零点,128395,2012,7
季然归去,102060,2012,7
猎人之维亚丝,30290,2012,7
一个人的剧本,96595,2012,7
不喜欢，那便是爱了,39294,2012,7
关关雎鸠,498685,2012,7
（综漫）攻满天下,40321,2012,7
一曲宫商一江湖,83215,2012,7
含笑应天,42762,2012,7
破心,45682,2012,7
毒,69989,2012,7
赤砂,31577,2012,7
攻受天庭,30616,2012,7
夜夜除非,225155,2012,7
好人和好事,28208,2012,7
黑壮衰,40205,2012,7
（浪蕊浮萍同人）吴韵棠,66620,2012,7
凤变,72801,2012,7
凡尘,21129,2012,7
乱世佳偶,67887,2012,7
最后荣耀,24242,2012,7
早熟,95621,2012,7
仙路,30216,2012,7
丧心病狂杂记,54734,2012,7
谓我何求,46795,2012,7
错过,24262,2012,7
无处可逃,31599,2012,8
命中注定逃不掉,172353,2012,8
成双,201692,2012,8
神棺的秘密,52165,2012,8
宫主大人，请怜持,22104,2012,8
紫清游世,41925,2012,8
非法一生（二战背景，轴心国视觉,68743,2012,8
揽月寻仙,74962,2012,8
别跟我拽英文,19024,2012,8
王媚寻欢,543223,2012,8
银丝血痕,113779,2012,8
这太坑爹了吧,212938,2012,8
琴音四起,20685,2012,8
追求,42919,2012,8
R-X,41883,2012,8
并非情人,71947,2012,8
末世之罪恶终结,181668,2012,8
谁说杀手不玩游戏？,53790,2012,8
奈何凉薄,19165,2012,8
爱上强势小鬼,25077,2012,8
典型性冷傲（不折就挠）,66505,2012,8
湮生塔,36776,2012,8
小倌,25600,2012,8
逆袭吧，少年们,20967,2012,8
演艺圈之遇狐,82989,2012,8
皈依,34718,2012,8
说，一万年也不能绝尘。,23979,2012,8
[综]稀疏光影,22357,2012,8
血誓,69221,2012,8
20字微小说之戚顾,27354,2012,8
暮色催城,223943,2012,8
可能雨也不会停,19400,2012,8
天龙八部online（全息）,27915,2012,8
皇上，你个拖油瓶,28201,2012,8
无心插柳,39679,2012,8
半道缘君,41248,2012,8
卸甲重组,22203,2012,8
[恶魔重生]今生，陪你流浪,77197,2012,8
《霸王硬上“攻”》 一 校董儿子,22391,2012,8
柒薇,25548,2012,8
丧尸来袭,50075,2012,8
禁捕猎区,50164,2012,8
倾尽天下,73182,2012,8
弱水三千,80941,2012,8
文明征服,50712,2012,8
清风笑面,140688,2012,9
彼岸殇,34233,2012,9
为君拔刀,29048,2012,9
暴力沉溺,36650,2012,9
[流三/推介]郁金香,31854,2012,9
奥伦诺大陆战记,98869,2012,9
黑房,88585,2012,9
上善若水，景爱倾天下,264554,2012,9
就让你放肆,83436,2012,9
动人的温度,29058,2012,9
醉九当歌,916015,2012,9
重生之男颜祸水,19913,2012,9
短篇①之渣攻被甩篇,33980,2012,9
神迹,63155,2012,9
青春,73992,2012,9
七夜微凉,26192,2012,9
帝王心，帝王信,37480,2012,10
犯错（静临同人）,45323,2012,9
The Dark,88312,2012,9
志与非凡,83400,2012,9
唧唧和哔哔,42102,2012,9
成为魔后,19659,2012,9
一念,301062,2012,9
墨染天下 妖怪志,20738,2012,9
煊赫,26865,2012,9
神偷,200712,2012,9
火克水,120960,2012,9
重生之饲养与驯服,60533,2012,9
我的无赖情人,27663,2012,9
未来异世之机甲骑士,20091,2012,9
此情莫待,86593,2012,9
琉璃玄机,80017,2012,9
兼职死神,60372,2012,9
悉灵录,153131,2012,9
剑仙 草稿,77010,2012,9
痞子出行，请注意,31989,2012,9
白脸猫,45686,2012,10
东边日出西边雨,55750,2012,10
青青子佩,60548,2012,10
boss总动员,40350,2012,10
星路迷航,328691,2012,10
凌界Rhopsody,28291,2012,10
再见吧，青涩,23932,2012,10
暗战出租楼,51176,2012,10
琴师,20648,2012,10
玩火自焚,25132,2012,10
不言而喻,21992,2012,10
那些年我们追过的男孩们~我爱你~,26950,2012,10
禁地之谜,79221,2012,10
一念执着,26486,2012,10
神奇宝贝世界的旅行,19554,2012,10
玉若斯雅,19631,2012,10
唯爱悟空,20464,2012,10
落星殇,29108,2012,10
异次元空间,216595,2012,10
终极诱惑,37039,2012,10
因为COS,54208,2012,10
九州,48025,2012,10
寂静尘嚣冷（网游bl）,105648,2012,10
一生不离开你,23044,2012,10
萧萧,33026,2012,10
我要的，不过如此,52592,2012,10
神诫,106791,2012,10
深蓝之青,115327,2012,10
吴家养女实录,20546,2012,10
东方未明,26925,2012,10
展卷,120116,2012,10
离玉成痴泣成冤,163203,2012,10
未央忧零木乘凉,107257,2012,11
一袭白裳赋情丝,126740,2012,11
志怪小说,97556,2012,11
九号，侦探社,31208,2012,11
魔王降临,44357,2012,11
千斤录,19623,2012,11
悄然而至,19739,2012,11
昼夜迷藏,106934,2012,11
上了就跑,103510,2012,11
离魂,47204,2012,11
[闪恩闪]病友30题,1598408,2012,11
[恩闪]草莓与奶油,1598408,2012,11
追随者,24908,2012,11
一念之间,34874,2012,11
嘘，鬼出没,41606,2012,11
就这么着吧，宋辞！,21864,2012,11
阿潘灵之王,93369,2012,11
夏越,104220,2012,11
惧爱,28884,2012,11
看不见的北极光,272253,2012,11
穿越火影之箜篌声起,89982,2012,11
异界之过敏爱上卿,35444,2012,11
狼骑之寻找图腾,29573,2012,11
杀手和流氓,50821,2012,12
水映月影夜未央,19638,2012,11
网游之巅绝,191648,2012,11
你只能是我的,186682,2012,11
脱线江湖,26477,2012,12
网王之涸澈之鲋,21469,2012,12
[HP]绝唱,31988,2012,12
春日花开时,60540,2012,12
古船幽幽,41467,2012,12
与君相伴老,45698,2012,12
最恨相思难,27030,2012,12
借我个勇气让我说出我爱你,23973,2012,12
千万别太监,275428,2012,12
月染弥鷨,247013,2012,12
（银魂）勿忘我,20702,2012,12
回忆还是你,128159,2012,12
吾家大人,23249,2012,12
HP格兰芬多,43149,2012,12
美少男梦工厂夢之工廠（艾瑞斯x阿萊諾）,20143,2012,12
空殿,267986,2012,12
不绝之恋,22919,2012,12
疯魔一世,168753,2012,12
今夕半虚构之紫蝶舞,31482,2012,12
骨感美,54868,2012,12
Magick,38281,2012,12
剿匪飞云寨,87691,2012,12
陪你到尽头,62996,2012,12
写在福音书上的杯具,225552,2012,12
万丈荣光,118800,2012,12
月半凤蝶落牡丹,72827,2012,12
一念,68110,2012,12
拿破仑十九点五,21322,2012,12
认真你就输了,42159,2012,12
七夜,38427,2012,12
其实我只是……,37183,2012,12
热血燃烧,27167,2012,12
执手成说之廊外芳华,26619,2012,12
年华,25792,2012,1
自作孽不可攻,16504,2012,2
烟飞云杨,78093,2012,2
石人有心,91697,2012,3
王牌七队Ι,48346,2012,4
为君拔刀,21232,2012,6
风和景曦，请君徐行,24451,2012,7
三日旧情,16450,2012,8
途末,65654,2012,10
易如楼,131525,2012,12
冷暖,22769,2012,1
断时,49996,2012,1
天上没有人间,32042,2012,1
用尽一生守护你,200549,2012,2
两个相像的人  。BL,22740,2012,2
地核秘辛,50020,2012,2
方圆,22016,2012,2
年少轻狂,16400,2012,3
年华覆流苏,18164,2012,3
危险情人之猎人游戏,20497,2012,4
冷淡与闷骚的相遇,34829,2012,4
月华之殇,16636,2012,4
•十二载,19287,2012,5
曾记竹马日边来,29493,2012,5
只要你，我的爱,21198,2012,6
一枝如画,21998,2012,6
Haze,52568,2012,6
琉雾苍泗,22130,2012,6
浮生长烟,57378,2012,6
饮尽龙血,56080,2012,7
我想我们有能力去对抗明天,18406,2012,7
止戈唯殇,244750,2012,7
坐失江山,76731,2012,7
加尔大陆,18684,2012,7
纸红书,21105,2012,8
微生途与许诣,59115,2012,8
青丝延,18483,2012,8
偷心,17311,2012,8
伤城秘密,21120,2012,8
幻象,20164,2012,8
Glorious Top(光耀巅峰）,35759,2012,8
绝对谎言,275014,2012,9
jz不言中,20190,2012,9
何必非彼,32855,2012,9
暗光,16767,2012,9
月落霜满天,35159,2012,11
让我成为你的宠,110367,2012,10
孤城无眠,33509,2012,11
暗战,56156,2012,11
拿塔之印,59296,2012,11
骑*,41389,2012,11
面具,67283,2012,11
那些挥霍青春的岁月,89181,2012,12
交错情深,42407,2012,12
罂毒,20278,2012,12
紫应青蚺,85128,2012,4
如此伊人,19236,2012,1
周而复始,95948,2012,2
情，无尘封,41389,2012,1
浮生长烟,46601,2012,1
古堡束忆,24599,2012,1
情难自已,36676,2012,1
待取名,18533,2012,2
千古风流,22098,2012,1
不染前尘,62822,2012,1
凛涅羅,49558,2012,1
空城,63215,2012,1
1,63254,2012,1
,18017,2012,1
狼之烙印—燃烧季节,60615,2012,1
一生痴恋,20141,2012,1
爱之错,17662,2012,1
沈渊,21135,2012,1
寝室里的爱恋,45350,2012,1
一统江湖,22559,2012,1
逆位死神,264411,2012,1
不记来时路,16470,2012,1
水晶盐,32257,2012,1
长夜未央,28659,2012,1
君不见，均不见。,17762,2012,1
月上西楼,20184,2012,1
萧萧锦书,36612,2012,5
不要走太快！,23395,2012,1
寻找钻石,64919,2012,1
落夏,17860,2012,1
绝对不要相信一见钟情,66841,2012,1
最好的时光,20017,2012,1
缚咒,49168,2012,1
江湖风云乱 水晶篇,17637,2012,1
当自大狂遇上自恋狂,19729,2012,1
单殇,33301,2012,1
腊月擒君,40608,2012,1
奉紫,20047,2012,1
余茶半盏惹情劫,102656,2012,1
警事情缘,22761,2012,1
学不会,27877,2012,1
诚于己心,106978,2012,1
乍笑长颦,39111,2012,1
伪色,25223,2012,1
暂无,16400,2012,3
伪攻,19398,2012,1
迟暮,53129,2012,1
深海藏,34830,2012,1
无迹,18604,2012,1
Crimson Thorn,26752,2012,1
[黑白]最佳拍档,21448,2012,1
烛火深处,17850,2012,1
墨录,55498,2012,1
俗世难却,32750,2012,1
魂离,21773,2012,1
铁骑突出刀枪鸣（娱乐圈）,59186,2012,1
溺世浮生,67854,2012,1
异数,27801,2012,1
无偿,57527,2012,1
一世为相,25971,2012,1
无独有偶,24096,2012,2
那个，你不信的世界,16443,2012,2
太子和基友的苦逼,45908,2012,2
完美王冠,32593,2012,2
