呸，老子才不是弱受（ABO）,863256,2018,11
熊颜大悦,3903269,2011,1
斗罗大陆之我很苏,229742,2016,8
［系统］嫁给魔君怎么破？,1414224,2016,7
ORGY酒吧的孩子们,2122676,2006,10
爱到幸福的距离,2040683,2009,4
重生之安魂师,1259734,2013,1
出轨计划,1133675,2013,11
影魔大人请抱我,2140026,2009,3
逆流,960356,2009,5
锦绣荣华,2307764,2011,6
夏天的笑,2737644,2013,10
(口袋妖怪)图鉴都是骗人的！,307546,2016,3
[鬼畜眼镜]弱受change into鬼畜攻,610682,2012,1
系统32165,636691,2016,2
替换白月光嫁给攻之后,1378101,2018,11
关关雎鸠,2741703,2017,9
妖梦,865814,2007,6
莫回首,1863608,2011,7
我家木木是弱受？,203594,2015,8
鼹鼠男的春天,2010064,2015,1
暮光之你是我的眼,257480,2012,6
渣攻从良记,283810,2015,1
老师是秘密宠物,185855,2007,9
当流氓遇上牛郎,1145788,2010,6
[网王]王子的王子殿下,400607,2012,7
细水长流,5520764,2013,5
与霸道总裁约会的365个小时,603206,2014,11
初心成执,1578914,2016,6
殷墟,7162190,2010,7
[军烨]应了断,567866,2015,7
弱受修仙记,1343868,2017,7
青青子衿,5034199,2015,10
评《献给我最爱的编辑大人》,4335681,2012,10
小狐狸下山记,476810,2017,2
（重生）将军成鸨公,1101112,2018,11
网游之逐光Online,604743,2010,7
报复吧，披着弱受皮子的腹黑受,123921,2014,6
小爸爸,631082,2011,8
交换灵魂：你是我今生唯一的爱人,1111547,2017,9
深柜弱受孟萌萌（gl）,314797,2015,10
繁世落花,2911519,2011,7
我罪天真,403648,2016,3
龙鱼,646882,2011,11
弱受掰弯帝王攻！,350546,2013,4
山河路漫漫,2982641,2017,5
玉宇琼楼 之欢喜游龙,4203306,2009,3
江山为筹,356253,2018,1
鬼畜门,344393,2008,6
[快穿]女主她器大活好,121823,2017,1
繁华应珣,1489051,2018,5
弱受穿越记,177383,2012,11
晶茜·常见鬼,114281,2017,8
不要随便逛古堡,736981,2015,11
白狐闯缈幻,362745,2008,2
暗夜情迷之西天迷情,239214,2008,7
弱受伪装手册[快穿],537187,2019,3
恶魔非养成番外,241203,2013,9
主人，您的节操掉了,389976,2015,8
蛇王夫君不好惹,307954,2014,8
深宫折翼,1858973,2013,1
想要你说你爱我,1018732,2017,7
人鱼之柔弱天使,297629,2011,11
白露,127253,2015,10
兽人之杰克苏,238184,2016,1
花开，一荼靡,491511,2012,1
重生之弱受,165473,2013,12
每逢兽人必有弱受,92043,2014,7
一日恋人,1060989,2009,9
主人，请你责罚,126521,2012,5
燕子回时,1175505,2008,8
路人大叔也有春天,563858,2014,11
杜撰的XX成长史,1728257,2009,9
[All斑]所谓Boss,76497,2010,4
长安揽月,1440182,2014,4
我家萌受变肌肉男了肿么破,409120,2016,9
犬子,660468,2010,9
漓云,678109,2012,4
白眼狼与老绵羊,948411,2016,1
喂，可不可以别这样,2126686,2012,10
密罪,562789,2009,12
洛叶归根,1293245,2012,4
沂水之畔月如弓,1499125,2012,11
[系统]万喵之王,492709,2019,2
皇子容悦,813842,2015,2
一厢孽缘,441858,2016,9
[NANA]本是不应该,84380,2010,8
王爷不要欺负我,369906,2013,2
柯氏家族之柯天圣,823427,2013,9
以掰弯直男为己任,358521,2014,7
穿越男和魔教教主,320722,2016,9
废材清醒一下,665887,2018,9
人家真的是弱受啦！,191666,2013,3
野兽学长,115546,2017,12
[日夜]强制还俗,277724,2012,7
简单的赌约,141752,2007,8
杀手恋人是弱受,904730,2018,11
毁于幸福,213013,2010,7
紫御宫同人之彼年陌上,349920,2010,11
虞美人,422069,2018,10
父债子偿,833888,2010,10
[喜洋洋与灰太狼同人]我只想要,74791,2011,3
主公莫生气,117241,2010,9
综漫之佐之轮回,125985,2013,5
终极狩猎,1158507,2014,4
总裁攻和弱受,210662,2015,3
[黑暗中世纪]小提琴夜曲,1162424,2016,3
玄天派JQ纪事,1053276,2016,3
难得,506891,2018,4
校霸大哥总是生气怎么办,70972,2019,2
强g弱s：虐s的等待,347288,2011,8
温柔,86183,2009,11
难言之恋,362111,2007,3
综漫之镜如止水,141595,2010,2
房东房客的180天,1149743,2011,10
兽人之神予,95800,2011,12
拯救失足魔王,404242,2012,6
装神弄鬼,215104,2012,7
花敷GL,165601,2012,12
小三,1312790,2013,7
（快穿）又是哈士奇!,254255,2017,7
弱受歪传,359404,2010,6
偏执成灾,1396651,2010,3
从强攻转变为'弱'受,207425,2007,6
陌路之爱,1472972,2012,11
小绣兔,166567,2010,7
每天都要被崩溃一次,1183086,2015,4
溺爱遇上神经病,517328,2015,7
暮霭沉沉,534340,2007,10
初夏,273836,2009,11
七秒暗恋,1382953,2014,1
肉与胖次与强攻弱受,464518,2014,7
网王同人 小狼养成计划,307723,2008,2
手在我手到白头,82011,2013,2
让我宠着你,361774,2010,8
弱受天成,1041154,2010,10
爱非卖,421181,2011,6
痴情锁爱,619805,2011,6
墨迹,407132,2014,7
我的皇后,847327,2016,9
莫灵师,1411182,2019,2
复仇者联盟《该死的身体休眠期》,56440,2012,7
爱上一个小傻子（bl）,129478,2013,11
稍息、立正、扑倒,986254,2012,11
我的男友是长兄,176725,2013,7
落叶归根,199493,2013,10
暮光,1066504,2014,5
穿越之修真大法好,748623,2016,11
森林物语,880983,2017,4
南风过处不留人,1576743,2018,9
魂祭女尊,527350,2014,12
弱受系统,207500,2015,6
此恨无期,178668,2007,6
末世你好之我有外星男友,83523,2013,5
攻城掠帝,269753,2008,11
重生之占有你,100534,2010,1
瓶邪虐花,49784,2012,1
花瓶邪一直守护你,115749,2012,1
黑瓶邪虐花,47683,2012,4
夏天爱上琉,239027,2016,2
受控吃东西（经典耽美文推荐）,147519,2015,5
神级小白,184690,2016,8
人妖王后,1062371,2013,4
男男兽受可亲,128512,2014,6
你求我啊戈鸟,797562,2015,1
总裁的极品弱受,182180,2015,8
论弱受的进化形态【abo】,177428,2017,7
思忆之绊,476796,2008,7
兽人之花花兽界,51323,2011,8
月耀天下,94910,2009,4
紧逼，独占,196174,2012,7
眸色清明（师徒bl）,75458,2012,6
我是半吊子阴阳师,386513,2013,2
雨后,480247,2013,2
狐假虎威,244952,2015,11
六出（上）,787912,2018,5
小红,577025,2006,9
不负如来不负卿,82604,2010,7
猛女总裁与妖孽弱受,145972,2011,2
兽世之改造生活,101650,2015,12
The Creation,97453,2016,10
网游之纯,73956,2010,2
青梅竹马之让我照顾你,453107,2010,2
小狐,166766,2011,7
空~~~~,702354,2012,8
醉卧红尘忆昔城,271240,2012,12
夜火,1092703,2008,1
如果你听见我的歌,1377275,2008,11
我不是女的,315841,2009,5
女权,89346,2011,1
为君倾城,100790,2011,10
冷.功,592675,2012,8
烟暖绮梦凉,138159,2014,9
明钦,479772,2015,8
踏骨铮王,128947,2016,8
"爱,情有独钟 (GL）",243385,2017,5
偷心,312674,2018,8
蜉蝣花火,240482,2018,10
弱受养成之腹黑宝贝,49444,2009,4
店小二,341667,2009,12
此生拼却蓝颜醉,189134,2015,8
夜星,661605,2008,9
女尊国里的弱美男,38586,2017,2
飞坦的那点往事,64340,2010,2
剑花烟雨旧江南,96535,2010,6
弱受，我来了@-@,151817,2006,1
大风！大风！大风！（三叶草X气球僵尸））,199018,2010,1
[网游]倩女幽魂之代价,64421,2011,9
轮椅上的那个人,39741,2013,6
腹黑直男强攻记,94143,2013,9
重生之如果有来生,157195,2015,12
戏子，爷要虐你,124685,2016,7
逍遥白医,93746,2016,8
四境,153200,2018,7
当弱受穿成闷油瓶,53932,2013,8
弱受养成计划,47300,2006,12
"吟吟月,葬葬花,装弱受",137670,2007,12
当弱受穿成强攻,48988,2011,7
穿越之西门家族,398549,2012,10
腹黑总攻放过我,116494,2015,4
快穿之弱受的攻略生活,32145,2018,9
奈何男主都是受,86877,2017,2
十一起解,371650,2010,1
别装了,869925,2010,3
龙未渊,790696,2011,3
封魔四百年,573480,2011,2
刚刚好,93558,2011,4
末裔之殇,237108,2011,6
一不小心爱上你,340240,2011,7
堕落天使也爱上呆呆的弱受,232383,2012,2
亲爱的，我爱的是弱受哟！,133723,2012,9
在我身边老实待着,61205,2013,8
各种狗血各种宠文集,109934,2013,8
清萧,196630,2013,8
安宁若素,268062,2013,10
弱受的死灵法师,35512,2015,5
两只弱受,52388,2015,11
名道界,198104,2016,7
男神，你好,1309540,2018,3
弱受传奇,61707,2008,9
兴冷淡不是我的错,50462,2015,11
重生之兽奴,61569,2016,9
强受当坚强,35534,2012,8
龙榻•战袍,113570,2010,2
系残血蛊,33344,2010,3
直男，弱受，总攻大人？！,67710,2013,8
接近她，然后吃掉她,54872,2018,2
我不是弱受,39327,2007,7
原罪,323825,2010,6
伪综漫寻人启事,90191,2010,6
无凭谁言,163234,2011,9
时间飞逝，20年后的生活——凤鸣，容恬版,37267,2012,1
幻世 月隐微尘,1426330,2012,3
不醒之境,302351,2012,6
亲爱的哥哥：你是我唯一的阴谋,53922,2012,8
卖手办的怪蜀黍,46847,2013,4
身不由己,304017,2013,4
芙蓉暖帐正好眠,427982,2013,9
重生之姚景,116039,2014,8
颤抖吧！蓝星,713354,2014,9
染郎记,392768,2015,1
沉默的寂寞,1035982,2015,4
男妃哪里跑,147476,2016,3
重生之冤冤相报,60244,2016,4
强攻虐弱受：总裁早上好,36623,2016,9
无上仙主,81900,2019,3
孤兒瑞安,115160,2010,5
谁说俺不是弱受,91756,2011,6
调笑令,582057,2012,1
综穿强受变成攻,41021,2013,11
狐狸猎受记,82709,2011,3
爱上你就那么简单,91892,2011,11
“弱”受不强攻,48042,2013,1
天使的指纹,67614,2014,3
少年檀,150546,2015,5
（快穿）标准直男系统,104689,2017,7
我瞎，你随意,96702,2018,9
林缠藤（改）,246027,2008,9
澄熙,85281,2008,10
名动天下（逆天）,1293466,2009,3
竹马不青梅,283009,2009,11
帮主的小白兔,59019,2010,5
情落惟尘(下部),271466,2010,8
离醉之束,52209,2011,1
爱你永不变,131471,2011,5
喂!老子不是弱受,37199,2012,5
相爱相杀,339887,2013,3
大神驾到，弱受让道,506837,2014,8
拆东墙,132701,2014,8
长艾萧,391826,2015,9
烙瑶池,402238,2016,7
晓窗惊梦,66733,2016,7
快穿之冰山初融,52934,2016,11
霜草书,295745,2017,2
白将军纪事,140097,2017,10
朝与同歌,101390,2018,5
慕林,63561,2018,8
云去山明丽如画,55540,2011,4
高柳,240332,2013,5
红雀,84978,2018,4
腐之有道，而吾非受也,27527,2009,7
穿书论如何抢男主斗婊砸,26436,2016,4
废弃都市的密谋,1040026,2012,3
宠物,257103,2012,5
早死不如赖活,193569,2012,8
为兄则强,173679,2016,5
家中自有美如意,34981,2017,7
电脑风云之我是弱受,26868,2007,7
要做弱受,32105,2007,8
爱你就要凌虐你,29241,2008,8
最后的秘密,104326,2008,10
老子我是弱受,129129,2008,12
爱、隔世,34772,2009,1
黑白残像（未修改版）,248613,2009,1
歧路,188309,2009,8
重生之覆水难收,66914,2010,5
初雪,232345,2010,10
为什么，爱注定了痛,57943,2010,12
小小东方迹,101924,2011,5
一星,27298,2011,10
忘川,114319,2012,6
‘压’雀有呻,29119,2012,7
十年离索,87342,2012,11
九年,395984,2013,1
安同乐是个MB,50696,2013,7
阮陵王,170354,2013,10
我要霸你,306125,2013,12
西罗之海,162750,2013,12
哥哥，我不想成为你弟,158079,2014,2
城子,669096,2014,7
桃花倚,569589,2014,7
男男互换我也不萌啊,49592,2015,2
倾颜泪,198440,2015,6
我愿等你相信我,839867,2016,9
末世恋人,46572,2016,10
醉犯与罪犯,99647,2016,12
当官不如泡皇上,36434,2017,1
耽美微小说,162816,2017,3
饮鸩止渴,51553,2017,5
我只是不想放手,51911,2017,6
快穿之强攻身下欢,25772,2018,11
晋江这个弱受！老子要上了你！,83212,2019,2
像极了爱情,56683,2019,2
总裁的夜店男宠,25338,2019,3
弱受系统之上位手册,62473,2016,6
死局[弱受变强攻],51345,2013,6
御宅不是错,64754,2010,8
别扭小弱受,31261,2009,6
禁恋协奏曲,154633,2011,5
受之有愧之弱受,120799,2012,8
钱渣渣逼婚记,41738,2012,12
逆龙天纵,35012,2012,12
则无,206862,2014,1
剑神与他的跟班,27654,2015,12
假装不爱你,151782,2016,6
当弱受穿为“强攻”,41918,2016,7
弱受与弱受,360578,2007,6
赤与黑,151203,2018,7
竹上清霜,134466,2007,12
他生未卜此生休(女尊BL),95039,2009,1
青荒,106953,2013,6
日常犯懒癌的负能量触子,27746,2017,11
绝舞清欢,48788,2007,6
岚,321631,2010,1
专门雷自己的女穿男,21648,2010,3
死性不改￠,27540,2011,2
小说,150486,2012,8
重生之与子执手,40349,2012,11
蓝颜祸国,95624,2013,4
就想吃掉你,30855,2013,8
疯皇爱茶,382882,2013,11
流年尽负,83506,2014,10
伴叶,64280,2015,4
坏人先生们,1443344,2017,2
渴望风流,71976,2017,3
老婆乖点叫老公,42301,2017,8
放肆！将军你反了！,24842,2018,2
你的年少，我的少年,200713,2018,5
教授住在我家隔壁,27766,2019,1
人格他总撩我,197805,2019,2
晤西莱雅之风,448330,2007,4
The End,223952,2008,4
珍爱难寻,116452,2008,6
無聲花,455266,2008,6
萧湘依旧,26778,2008,7
推倒宠物,50763,2008,8
那年，夏,230222,2009,4
幻雪谜城,37723,2009,6
一个灵魂掰成两半,252314,2009,11
染落花家,120057,2010,10
绝色蝴蝶恋人kiss,26082,2011,1
含羞草,146735,2011,1
血色密码,46961,2011,4
[家教18短篇]沙包,44607,2011,8
小城荼恋,85730,2011,8
苏扬,41122,2012,9
囚禁穆枚，你很快乐吗？,22399,2012,10
坦诚说爱你,22744,2013,3
遇见他，如春水映梨花。,23923,2013,4
少年之契,56000,2013,6
富二代的淡定男朋友,34362,2013,8
悦君兮，君可知,216430,2013,9
谁道繁华不似梦,460257,2013,9
腐女之最高成就,105630,2013,12
灵幻战记之器戈,76233,2013,12
温暖狱医,46928,2014,4
皇夫万万岁,155528,2014,12
冷锁靥情,73500,2014,12
时哀,141375,2015,2
流浪少爷的新男宠,81574,2015,3
天阁缘,188507,2015,6
纸鸢,61509,2016,2
《综》李亚林的日肠生活,31060,2016,3
十七岁的萌动,148787,2016,7
小狐狸的帽子,23855,2016,8
腐朽的杀戮,107443,2017,2
我竟然成了室友的恋爱对象？,31864,2017,5
麟羽 我们的爱，静待花开,59204,2017,8
移情别恋这件小事,130976,2017,8
雷水解,58677,2017,9
乱世有佳人,26423,2018,4
仙夫何求,492544,2018,6
快穿之人生巅峰手册,34549,2018,7
望枫卿寒：弱受皇子家的变态世子,42451,2018,8
沈家二公子坎坷的情路,24820,2018,8
我的他和他,27406,2018,12
落日湮华,52859,2018,12
我真的是直男,24251,2019,2
欠还,50591,2019,2
美弱受的故事,51555,2014,5
这个弱受有点强,48710,2010,3
吾辈叫莫竹,44436,2014,6
臭小子不要跑,19024,2016,5
公寓23楼,99337,2018,2
评《弱受》,31102,2006,10
陌上,35762,2008,10
如戏,199776,2009,5
追寻阳光,46432,2009,9
皇上不哭,299331,2013,1
一室春光,31791,2013,4
腹黑总裁小弱受,28587,2013,11
弱受小妖精,63162,2013,11
浮华一同梦,251061,2014,4
年怜,28324,2014,12
穿越未来之与你相守,20135,2015,1
不语,20399,2016,6
半生,174218,2016,10
系统快穿：弱受次次被扑倒,30140,2019,2
七老师与六老师,20087,2019,2
教化学的饶老师,35228,2010,9
温暖眼光洒年华,28597,2015,7
谎言,19224,2009,7
冬眠的客人,28139,2009,1
编辑别走，作者请留,22183,2012,4
末路,256663,2013,2
江湖,57466,2013,8
长伴君侧,35043,2010,1
BL之天缘萌恋,38927,2010,9
测爱,26786,2013,5
他和他的受肉粥,86584,2013,8
那些,91461,2014,4
平凡受的故事,47950,2014,5
以为是贱受你就错了,85434,2016,1
系统重生之温柔宿主,32250,2018,7
病因为愔,36174,2018,8
戏子残妆,533245,2019,3
春江花月夜,45442,2007,2
出走,42959,2008,7
今日你做受来我为攻,41608,2008,8
映月如辉,28388,2008,8
帝王篇,154276,2008,11
傻人,123730,2009,3
缘起夏天,39271,2009,5
当一个很强大的小受被甩以后,20391,2010,2
月上楼台风雨情之碧城歌,137482,2010,3
明星系列之非相恋,30483,2010,9
成攻之路,22222,2010,11
回旋的爱之江宁,60178,2011,9
恋离觞,116905,2012,1
怜月,308841,2012,11
军师受（起名无能啊）,48814,2012,12
极道虎与小白兔同人,230568,2013,4
当弱受有了强攻的资本,24008,2013,6
强权,94995,2014,3
绝望的主仆关系,23409,2014,3
倘若世上再无你,268380,2014,10
银月之国,125379,2015,3
醉梦仙灵,63508,2015,5
一只弱受的日常,23593,2017,4
病好以后,27033,2017,12
晋江是只受,27777,2018,2
说好的是媳妇啊,26948,2018,9
民国小少爷,27908,2019,3
丹枫雾里初识君,96569,2005,12
柳色如颜,540150,2006,4
就是爱你,21573,2007,10
纵使相逢,115507,2007,11
他如那绽放的花,82494,2008,1
赤血泪·赤血情,100955,2008,2
我与千年弱受男,86341,2008,2
一小功对小白弱受的约法N章!,19618,2008,8
小秋,25823,2008,9
烟廊,70380,2008,10
饥渴,20090,2009,3
凡尘只因有你,26258,2009,6
龙淫,38000,2009,7
腹黑琉，饶了我吧！,25124,2009,7
我的故事,194080,2010,1
我不是gay,70448,2010,2
兔子,40520,2010,3
一切重新开始,23298,2010,4
卑微者的爱情,25020,2010,5
四季,28220,2010,5
狼王黑釉,33164,2010,6
那年夏天,124321,2010,7
并非春天,124202,2010,7
轮回,86325,2010,8
冷xx和幽xx的幸福生活,30104,2010,8
我的小攻是只鬼~,21285,2010,8
征服“贤内助”（同人CP）,46984,2010,9
当你选择遗忘,86474,2010,10
兄长的孽缘,22835,2010,10
临时主角,159744,2010,11
再见，小王子,19254,2011,1
若与永远 然则与恒,24890,2011,2
虐心片段,19816,2011,4
当流氓遇见弱受,24720,2011,6
你不知道我有多心痛,21045,2011,8
天雷,63044,2011,8
狐莫天下,21956,2011,9
如果的事,33464,2011,9
包子神马的最好吃了,65747,2011,10
渊缘,236915,2011,12
无3,19024,2011,12
网游之幻想,19192,2012,2
惜薄恋温情,19024,2012,3
浮生未歇季未央,136001,2012,4
沈笑警员！加油！,28862,2012,6
无明,54861,2012,6
看，天空很暗,22594,2012,7
归途,163321,2012,7
暗夜之面瘫小攻成长史,95185,2012,8
莫希,23232,2012,8
全息网游之天空翅膀,27179,2012,9
痴,63961,2012,10
重生之红尘续乾缘,21056,2012,10
和尚难为：蛊惑,78771,2012,12
结婚这件事,41408,2012,12
不用猜结果,69349,2013,1
委员长，你的拐子砸到我了「番外,32362,2013,2
帮主，我是你的皇帝,67024,2013,2
姻缘,45205,2013,2
东西南北爱情论,42017,2013,2
淡墨染上,141060,2013,2
爱情啊，别哭！,145943,2013,4
恶劣的游戏,75195,2013,4
我的女友是个T,187457,2013,5
禁言,82462,2013,6
考验,26014,2013,8
晨光,166129,2013,8
笑君不服输,27270,2013,8
明杰诡术,165952,2013,8
繁花落后可有情,22375,2013,8
报应不爽,82630,2013,10
璃莫离,28526,2013,11
亚伯的世界,46939,2014,2
光阴韶华,22568,2014,2
退化,26423,2014,2
姐，出门右拐！,162884,2014,6
流·年之青城玥,36502,2014,7
我叫强攻我的儿子是只只会嘤嘤嘤的弱受,65645,2014,8
深得人心,32816,2014,11
黑化吧，弱受,25363,2015,3
玩笑契约,35638,2015,3
离陌天,22726,2015,5
误入祁途,133177,2015,6
何小川的求扑倒之路,29052,2015,7
重生之枷锁,93592,2015,8
原谅，我爱你,19130,2016,1
失忆的契约兽,121692,2016,3
甜蜜蜜,22361,2016,3
捡到渣攻一只,93193,2016,5
只等你承认喜欢我,49397,2016,6
路遇的爱情,26232,2016,7
情逢无心,19979,2016,7
莲上轻舞伤如故,27173,2016,7
快穿之暴君轻点爱,41883,2016,12
孽缘也是缘,74884,2016,8
皇上若无情,71374,2016,9
三人行,165994,2016,9
聚职街：月媒,94716,2016,10
数羊,26225,2016,10
未来之安安,21601,2016,10
白杨青匆,302864,2016,10
刹那言欢,28364,2016,12
腹黑男二我爱你,20090,2016,12
魔王大人的小娇妻,29474,2017,5
绝色帝宠,147241,2017,5
清风不如你,58337,2017,7
四十九夜,131485,2017,7
火坑,68225,2017,7
漫漫宠妻路,67735,2017,8
也许的曾经,20326,2017,10
总有刁民想亲朕,41968,2017,10
囚爱,24332,2017,11
圣旨,44746,2017,12
有旧,100350,2018,1
清明遇清白,24267,2018,1
爱的饲养,36884,2018,2
重生之不一样的人生,19291,2019,3
哥哥，请对我好一点,36420,2018,5
写不出文怎么办,44065,2018,5
班长大人，我错了！,53667,2018,7
基流勇进,19024,2018,11
归去来兮,80586,2018,12
刨坑圣手,153567,2019,1
花颜下山记,193984,2019,3
【快穿】我到底是个什么东西,21004,2019,3
离哀,22938,2013,8
养成魔界小王子,22110,2019,2
他不爱我,72537,2015,5
有片荆棘海,53192,2010,10
丝丝入扣,16400,2011,1
连生,67362,2011,2
任念,21234,2011,4
蓝卿采画,37066,2012,2
兰莺月,32984,2014,7
我想给你超乎性别的恋爱,31167,2014,10
很错很错的爱,63798,2015,2
梦幻艾斯格林,18940,2015,10
